model,blimp,blimp_s,ewok,wug
Cambridge_inlp_projection_gender_ltg_baseline,76.26,69.6,52.73,
Cambridge_inlp_projection_race_ltg_baseline,78.59,72.0,50.64,
babyllama-100m-2024,74.45,62.08,52.57,
bert-base-uncased,84.34,71.6,,9.5
bert-base-uncased-CDA-gender-1500,83.5,71.6,54.82,
ltg-bert-babylm,83.66,78.0,54.27,
ltg-bert-babylm-CDA-gender-1000,82.63,76.0,53.27,
ltg-bert-babylm-CDA-gender-1500,82.93,76.4,53.73,
ltg-bert-babylm-CDA-gender-2000,,,,
ltg-bert-babylm-CDA-gender-500,82.9,76.8,53.55,
ltg-bert-babylm-CDA-race-1000,83.34,76.0,52.45,
ltg-bert-babylm-CDA-race-1500,82.98,75.2,52.45,
ltg-bert-babylm-CDA-race-2000,83.2,75.2,52.36,
ltg-bert-babylm-CDA-race-500,83.15,76.8,52.55,
ltgbert-100m-2024,78.62,72.0,51.45,
ltgbert-100m-2024-gender-baseline-CDA-1000,78.72,70.0,49.64,
ltgbert-100m-2024-gender-baseline-CDA-1500,78.82,68.8,49.91,
ltgbert-100m-2024-gender-baseline-CDA-2000,78.62,70.0,49.73,
ltgbert-100m-2024-gender-baseline-CDA-500,78.89,70.0,50.0,
ltgbert-100m-2024-race-baseline-CDA-1000,78.4,70.8,51.0,
ltgbert-100m-2024-race-baseline-CDA-1500,78.51,69.6,50.45,
ltgbert-100m-2024-race-baseline-CDA-2000,78.34,68.8,50.45,
ltgbert-100m-2024-race-baseline-CDA-500,77.96,69.6,52.18,
